source,source_name,target,target_name,weight
8500010,Basel SBB,8500016,Basel St. Johann,11443
8500010,Basel SBB,8500020,Muttenz,43662
8500010,Basel SBB,8500021,Pratteln,522
8500020,Muttenz,8500021,Pratteln,43361
8500010,Basel SBB,8500023,Liestal,31297
8500020,Muttenz,8500023,Liestal,569
8500022,Frenkendorf-Füllinsdorf,8500023,Liestal,20603
8500010,Basel SBB,8500090,Basel Bad Bf,33589
8500023,Liestal,8500090,Basel Bad Bf,1990
8500010,Basel SBB,8500105,Moutier,8229
8500104,Court,8500105,Moutier,10333
8500010,Basel SBB,8500109,Delémont,880
8500028,Tecknau,8500109,Delémont,10488
8500105,Moutier,8500109,Delémont,17499
8500010,Basel SBB,8500113,Laufen,1410
8500028,Tecknau,8500113,Laufen,8902
8500109,Delémont,8500113,Laufen,19893
8500010,Basel SBB,8500117,Aesch BL,141
8500115,Grellingen,8500117,Aesch BL,538
8500116,Duggingen,8500117,Aesch BL,20805
8500010,Basel SBB,8500119,Münchenstein,26
8500118,Dornach-Arlesheim,8500119,Münchenstein,20610
8500010,Basel SBB,8500218,Olten,17090
8500023,Liestal,8500218,Olten,9623
8500026,Sissach,8500218,Olten,216
8500027,Gelterkinden,8500218,Olten,9767
8500028,Tecknau,8500218,Olten,534
8500037,Trimbach,8500218,Olten,9428
8500090,Basel Bad Bf,8500218,Olten,2253
8500136,Basel Dreispitz,8500218,Olten,18959
8500207,Solothurn,8500218,Olten,8796
8500212,Oensingen,8500218,Olten,10342
8500217,Olten Hammer,8500218,Olten,19053
8500010,Basel SBB,8500301,Rheinfelden,17295
8500021,Pratteln,8500301,Rheinfelden,359
8500300,Kaiseraugst,8500301,Rheinfelden,22716
8500010,Basel SBB,8503000,Zürich HB,13984
8500090,Basel Bad Bf,8503000,Zürich HB,4602
8500218,Olten,8503000,Zürich HB,10025
8500309,Brugg AG,8503000,Zürich HB,27446
8500320,Stein-Säckingen,8503000,Zürich HB,10017
8500329,Koblenz,8503000,Zürich HB,3005
8501120,Lausanne,8503000,Zürich HB,15964
8501609,Brig,8503000,Zürich HB,7004
8502113,Aarau,8503000,Zürich HB,18022
8502115,Wildegg,8503000,Zürich HB,488
8502119,Lenzburg,8503000,Zürich HB,35256
8502204,Zug,8503000,Zürich HB,25218
8502206,Baar,8503000,Zürich HB,10503
8502208,Horgen Oberdorf,8503000,Zürich HB,251
8502209,Oberrieden Dorf,8503000,Zürich HB,19369
8502215,Muri AG,8503000,Zürich HB,3492
8502229,Urdorf Weihermatt,8503000,Zürich HB,35459
8500021,Pratteln,8500022,Frenkendorf-Füllinsdorf,20739
8500021,Pratteln,8500300,Kaiseraugst,22711
8500023,Liestal,8500024,Lausen,20387
8500023,Liestal,8500025,Itingen,289
8500024,Lausen,8500025,Itingen,20411
8500023,Liestal,8500026,Sissach,20497
8500025,Itingen,8500026,Sissach,20702
8500026,Sissach,8500027,Gelterkinden,29664
8500026,Sissach,8500028,Tecknau,25
8500027,Gelterkinden,8500028,Tecknau,19899
8500026,Sissach,8500031,Diepflingen,10182
8500026,Sissach,8502113,Aarau,10807
8500218,Olten,8502113,Aarau,1823
8500309,Brugg AG,8502113,Aarau,18748
8501037,Morges,8502113,Aarau,7942
8501120,Lausanne,8502113,Aarau,967
8502001,Zofingen,8502113,Aarau,8041
8502010,St. Erhard-Knutwil,8502113,Aarau,7041
8502103,Suhr,8502113,Aarau,34467
8502105,Othmarsingen,8502113,Aarau,252
8502106,Mägenwil,8502113,Aarau,13520
8502112,Schönenwerd SO,8502113,Aarau,19565
8500031,Diepflingen,8500032,Sommerau,10182
8500032,Sommerau,8500033,Rümlingen,10182
8500033,Rümlingen,8500034,Buckten,10182
8500034,Buckten,8500035,Läufelfingen,10182
8500035,Läufelfingen,8500037,Trimbach,9678
8500037,Trimbach,8500240,Olten RB,60
8500090,Basel Bad Bf,8503424,Schaffhausen,7357
8503000,Zürich HB,8503424,Schaffhausen,7921
8503400,Bülach,8503424,Schaffhausen,8835
8503423,Neuhausen,8503424,Schaffhausen,47459
8500100,Tavannes,8500101,Reconvilier,14686
8500100,Tavannes,8500162,Tramelan-Dessous,13978
8500101,Reconvilier,8500102,Malleray-Bévilard,14686
8500102,Malleray-Bévilard,8500103,Sorvilier,10333
8500102,Malleray-Bévilard,8500135,Pontenet,4353
8500105,Moutier,8500135,Pontenet,10333
8500103,Sorvilier,8500104,Court,10333
8500105,Moutier,8500206,Solothurn West,9092
8500205,Bellach,8500206,Solothurn West,19166
8500109,Delémont,8500120,Courtételle,10469
8500119,Münchenstein,8500120,Courtételle,8969
8500109,Delémont,8500159,Grenchen Nord,512
8500113,Laufen,8500159,Grenchen Nord,8484
8500126,Porrentruy,8500159,Grenchen Nord,500
8500144,Buix,8500159,Grenchen Nord,7984
8500113,Laufen,8500114,Zwingen,21621
8500114,Zwingen,8500115,Grellingen,21351
8500115,Grellingen,8500116,Duggingen,20491
8500117,Aesch BL,8500118,Dornach-Arlesheim,21199
8500119,Münchenstein,8500136,Basel Dreispitz,11641
8500126,Porrentruy,8500136,Basel Dreispitz,9532
8500120,Courtételle,8500121,Courfaivre,19701
8500121,Courfaivre,8500122,Bassecourt,19942
8500122,Bassecourt,8500123,Glovelier,19986
8500123,Glovelier,8500124,St-Ursanne,19978
8500123,Glovelier,8500169,Muriaux,7999
8500124,St-Ursanne,8500125,Courgenay,19978
8500125,Courgenay,8500126,Porrentruy,19978
8500126,Porrentruy,8500127,Courtemaîche,9881
8500126,Porrentruy,8500186,Alle,13067
8500127,Courtemaîche,8500128,Boncourt,9881
8500128,Boncourt,8500141,Courchavon,9838
8500135,Pontenet,8504300,Biel/Bienne,1787
8500159,Grenchen Nord,8504300,Biel/Bienne,17047
8500207,Solothurn,8504300,Biel/Bienne,9305
8500218,Olten,8504300,Biel/Bienne,9862
8503000,Zürich HB,8504300,Biel/Bienne,603
8503016,Zürich Flughafen,8504300,Biel/Bienne,598
8504221,Neuchâtel,8504300,Biel/Bienne,19131
8504229,Tüscherz,8504300,Biel/Bienne,13600
8500135,Pontenet,8504304,Sonceboz-Sombeval,12899
8504300,Biel/Bienne,8504304,Sonceboz-Sombeval,9449
8504303,La Heutte,8504304,Sonceboz-Sombeval,10180
8500141,Courchavon,8500143,Grandgourt,3097
8500141,Courchavon,8500144,Buix,6770
8500143,Grandgourt,8500144,Buix,3053
8500159,Grenchen Nord,8501008,Genève,170
8500218,Olten,8501008,Genève,8173
8501007,Vernier,8501008,Genève,20560
8500159,Grenchen Nord,8501120,Lausanne,282
8500218,Olten,8501120,Lausanne,10040
8501008,Genève,8501120,Lausanne,3437
8501026,Genève-Aéroport,8501120,Lausanne,15322
8501037,Morges,8501120,Lausanne,16873
8501103,Vallorbe,8501120,Lausanne,1684
8501118,Renens VD,8501120,Lausanne,71758
8500162,Tramelan-Dessous,8500164,Tramelan-Chalet,9199
8500162,Tramelan-Dessous,8500170,Tramelan,4779
8500167,Les Breuleux-Eglise,8500170,Tramelan,9502
